name,height,weight
alex,65.78,112.99
ajay,71.52,136.49
alice,69.4,153.03
ravi,68.22,142.34
joe,67.79,144.3
alex,65.78,112.99
ajay,71.52,136.49
alice,69.4,153.03
ravi,68.22,142.34
joe,67.79,144.3
alex,65.78,112.99
ajay,71.52,136.49
alice,69.4,153.03
ravi,68.22,142.34
joe,67.79,144.3
jack,68.7,123.3
tom,69.8,141.49
tracy,70.01,136.46
john,67.9,112.37
jack,68.7,123.3
tom,69.8,141.49
tracy,70.01,136.46
john,67.9,112.37
jack,68.7,123.3
tom,69.8,141.49
tracy,70.01,136.46
john,67.9,112.37
simon,67.9,112.37
jacob,66.78,120.67
cindy,66.49,127.45
ivan,67.62,114.14
simon,67.9,112.37
jacob,66.78,120.67
cindy,66.49,127.45
ivan,67.62,114.14
simon,67.9,112.37
jacob,66.78,120.67
cindy,66.49,127.45
ivan,67.62,114.14
